9.50 1836127 1838758 1928747 5603632
10.00 684071 694058 742130 2120259
10.50 237116 242172 269036 748324
11.00 85702 85100 99882 270684
11.50 31011 29570 36936 97517
12.00 11705 9908 13521 35134
12.50 4772 3280 4136 12188
13.00 2041 1059 941 4041
13.50 820 230 156 1206
14.00 215 37 44 296
14.50 36 2 3 41
